event_id;event;country;source_tz;local_dt;source;period_label;impact;notes;source_url;retrieved_at_utc
US_CPI_2024-01-11;Consumer Price Index (CPI);US;America/New_York;2024-01-11T08:30;U.S. Bureau of Labor Statistics;2024-01;high;;https://www.bls.gov/schedule/2024/;2025-09-10T17:44Z
US_RETAIL_SALES_ADVANCE_2024-01-17;Retail Sales (Advance);US;America/New_York;2024-01-17T08:30;U.S. Census Bureau;2024-01;high;;https://www.census.gov/retail/marts/www/martsdates.pdf;2025-09-10T17:44Z
US_PCE_2024-01-26;Personal Consumption Expenditures (PCE) Price Index;US;America/New_York;2024-01-26T10:00;U.S. Bureau of Economic Analysis;2024-01;high;;https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2024.pdf;2025-09-10T17:44Z
US_CPI_2024-02-13;Consumer Price Index (CPI);US;America/New_York;2024-02-13T08:30;U.S. Bureau of Labor Statistics;2024-02;high;;https://www.bls.gov/schedule/2024/;2025-09-10T17:44Z
US_RETAIL_SALES_ADVANCE_2024-02-15;Retail Sales (Advance);US;America/New_York;2024-02-15T08:30;U.S. Census Bureau;2024-02;high;;https://www.census.gov/retail/marts/www/martsdates.pdf;2025-09-10T17:44Z
US_PCE_2024-02-29;Personal Consumption Expenditures (PCE) Price Index;US;America/New_York;2024-02-29T10:00;U.S. Bureau of Economic Analysis;2024-02;high;;https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2024.pdf;2025-09-10T17:44Z
US_CPI_2024-03-12;Consumer Price Index (CPI);US;America/New_York;2024-03-12T08:30;U.S. Bureau of Labor Statistics;2024-03;high;;https://www.bls.gov/schedule/2024/;2025-09-10T17:44Z
US_RETAIL_SALES_ADVANCE_2024-03-14;Retail Sales (Advance);US;America/New_York;2024-03-14T08:30;U.S. Census Bureau;2024-03;high;;https://www.census.gov/retail/marts/www/martsdates.pdf;2025-09-10T17:44Z
US_PCE_2024-03-29;Personal Consumption Expenditures (PCE) Price Index;US;America/New_York;2024-03-29T10:00;U.S. Bureau of Economic Analysis;2024-03;high;;https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2024.pdf;2025-09-10T17:44Z
US_CPI_2024-04-10;Consumer Price Index (CPI);US;America/New_York;2024-04-10T08:30;U.S. Bureau of Labor Statistics;2024-04;high;;https://www.bls.gov/schedule/2024/;2025-09-10T17:44Z
US_RETAIL_SALES_ADVANCE_2024-04-15;Retail Sales (Advance);US;America/New_York;2024-04-15T08:30;U.S. Census Bureau;2024-04;high;;https://www.census.gov/retail/marts/www/martsdates.pdf;2025-09-10T17:44Z
US_PCE_2024-04-26;Personal Consumption Expenditures (PCE) Price Index;US;America/New_York;2024-04-26T10:00;U.S. Bureau of Economic Analysis;2024-04;high;;https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2024.pdf;2025-09-10T17:44Z
US_CPI_2024-05-15;Consumer Price Index (CPI);US;America/New_York;2024-05-15T08:30;U.S. Bureau of Labor Statistics;2024-05;high;;https://www.bls.gov/schedule/2024/;2025-09-10T17:44Z
US_RETAIL_SALES_ADVANCE_2024-05-15;Retail Sales (Advance);US;America/New_York;2024-05-15T08:30;U.S. Census Bureau;2024-05;high;;https://www.census.gov/retail/marts/www/martsdates.pdf;2025-09-10T17:44Z
US_PCE_2024-05-31;Personal Consumption Expenditures (PCE) Price Index;US;America/New_York;2024-05-31T10:00;U.S. Bureau of Economic Analysis;2024-05;high;;https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2024.pdf;2025-09-10T17:44Z
US_CPI_2024-06-12;Consumer Price Index (CPI);US;America/New_York;2024-06-12T08:30;U.S. Bureau of Labor Statistics;2024-06;high;;https://www.bls.gov/schedule/2024/;2025-09-10T17:44Z
US_RETAIL_SALES_ADVANCE_2024-06-18;Retail Sales (Advance);US;America/New_York;2024-06-18T08:30;U.S. Census Bureau;2024-06;high;;https://www.census.gov/retail/marts/www/martsdates.pdf;2025-09-10T17:44Z
US_PCE_2024-06-28;Personal Consumption Expenditures (PCE) Price Index;US;America/New_York;2024-06-28T10:00;U.S. Bureau of Economic Analysis;2024-06;high;;https://www.census.gov/economic-indicators/econcards/assets/pdf/censusreleaseglance_2024.pdf;2025-09-10T17:44Z
US_CPI_2024-07-11;Consumer Price Index (CPI);US;America/New_York;2024-07-11T08:30;U.S. Bureau of Labor Statistics;2024-07;high;;https://www.bls.gov/schedule/2024/;2025-09-10T17:44Z
